feature,pattern_category,agentarch,agentbench,agentops,bfcl,clear,cloud-opsbench,dacomp,flowcept,infiagent-dabench,langfuse,llm-agents-workflow-provenance,scienceagentbench,tau-bench,tau2-bench,toolbench,trail,worfbench,exabench_status
pass^k reliability,reliability,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,core
deterministic snapshots,environment,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,core
trace taxonomy,trace,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,add
hybrid scoring,scoring,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,core
workflow graph scoring,workflow,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,consider
policy / RBAC scoring,safety,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,core
cost / latency metrics,efficiency,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,add
observability integration,observability,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,add
HPC-native tools,hpc,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,core
open-source code,reuse,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,core
